NOM;DCI1
BIOMYLASE;ALFA-AMYLASE
BIOMYLASE;ALFA-AMYLASE
ACETATE EM 142;CONCENTRE POUR HEMODIALYSE
HICONCIL;AMOXICILLINE
CATALGINE;ACIDE ACETYLSALICYLIQUE
TANGANIL;ACETYLLEUCINE
TANGANIL;ACETYLLEUCINE
CARDIX;CARVEDILOL
CARDIX;CARVEDILOL
RIFAMPICINE PHARMA;RIFAMPICINE
ZAMOX;AMOXICILLINE / ACIDE CLAVULANIQUE
ADENOCYNENESINE;SOUCHE HOMEOPATHIQUE
CEFTAJECT I.V 500 MG/5ML;CEFTRIAXONE
CEFTAJECT I.V 500 MG/5ML;CEFTRIAXONE
AMEP 5;AMLODIPINE
LIPANTHYL;FENOFIBRATE
FACTIVE 320 MG;MESYLATE DE GEMIFLOXACINE
FACTIVE 320 MG;MESYLATE DE GEMIFLOXACINE
CETAMYL;PARACETAMOL
INNOHEP 3500 UI ANTI-XA/0,35 ML;TINZAPARINE
METOSPIR;SPIRAMYCINE / METRONIDAZOLE
BICARBONATE SLF307;CONCENTRE POUR HEMODIALYSE
INNOHEP 4500 UI ANTI-XA/0,45 ML;TINZAPARINE
TOPIRAMATE GT 25 MG;TOPIRAMATE
LONGAMYCINE;DOXYCYCLINE
BUCCOTHYMOL;LIDOCAINE / ACIDE SALICYLIQUE
GEPRID;GLIMEPIRIDE
GEPRID;GLIMEPIRIDE
VFEND;VORICONAZOLE
NOCOL;SIMVASTATINE
DEBRIDAT;TRIMEBUTINE
GYNO-TROSYD;TIOCONAZOLE
EQUANIL;MEPROBAMATE
RECORMON;EPOETINE BETA
AMAREL;GLIMEPIRIDE
AMBATROL;NIFUROXAZIDE
POLERY AD.;CODEINE / ERYSIMUM
STALEVO 50/12.5/200 MG;ENTACAPONE / LEVODOPA / CARBIDOPA
STALEVO 50/12.5/200 MG;ENTACAPONE / LEVODOPA / CARBIDOPA
GLIMEWIN;GLIMEPIRIDE
GLIMEWIN;GLIMEPIRIDE
TECAN;IRINOTECAN
VISCERALGINE;TIEMONIUM
HERPEVIR 5%;ACICLOVIR
FLUCAZOL;FLUCONAZOLE
REVLIMID 15 MG;LENALIDOMIDE
GRISEO;GRISEOFULVINE
OSPAMOX;AMOXICILLINE
LEVOPHTA;LEVOCABASTINE
NOVONORM;REPAGLINIDE
GASTROGEL;HYDROXYDE D'ALUMINIUM / HYDROXYDE DE MAGNESIUM
COTAREG;VALSARTAN / HYDROCHLOROTHIAZIDE
FLUCONAZOLE WIN 150 MG;FLUCONAZOLE
FLUCONAZOLE WIN 150 MG;FLUCONAZOLE
BIODROXIL;CEFADROXIL
RISPERDALCONSTA LP 37.5MG/2ML;RISPERIDONE
NOMADOL 100 MG/2ML;TRAMADOL
FUCIDINE;ACIDE FUSIDIQUE
DIFAL;DICLOFENAC
EFFEXOR;VENLAFAXINE
REBIF 22  G;INTERFERON BETA-1A
REBIF 22  G;INTERFERON BETA-1A
AZANTAX;PACLITAXEL
DOXORUBICINE COOPER;DOXORUBICINE
ERYTHROCINE;ERYTHROMYCINE
VERTIS;BETAHISTINE
CIBACEN;BENAZEPRIL
DACRYOBORALINE;SYNEPHRINE
SEDERGINE;ACIDE ACETYLSALICYLIQUE / ACIDE ASCORBIQUE (VITAMINE C)
DICLOBERL;DICLOFENAC
ACIDE SLF275M;CONCENTRE POUR HEMODIALYSE
DERZOL;FLUCONAZOLE
ASTAPH;FLUCLOXACILLINE
DEPAKINE;VALPROATE DE SODIUM
SIFROL 0.26 MG;PRAMIPEXOLE
ADRIBLASTINE;DOXORUBICINE
LYRICA;PREGABALIN
D-RUBICIN-10;DOXORUBICINE
PRISDAL;RISPERIDONE
PRISDAL;RISPERIDONE
FERRIPROX;DEFERIPRONE
INNOHEP 14 000 UI ANTI-XA/0,7 ML;TINZAPARINE
POLARAMINE;DEXCHLORPHENIRAMINE
FORTOVASE;SAQUINAVIR
FLIXOTIDE;FLUTICASONE
KIDROLASE;ASPARAGINASE
KIDROLASE;ASPARAGINASE
RETISOL-A;TRETINOINE
STARPEN;PHENOXYMETHYLPENICILLINE BENZATHINE
TIM-87 0,5 %;TIMOLOL
RISPERDALCONSTA LP 50MG/2ML;RISPERIDONE
PARFENAC 5%;BUFEXAMAC
ARCOXIA;ETORICOXIB
MIRCERA 150  G/0.3 ML;EPOETINE BETA
LOSARTAN /HCTZ GT;LOSARTAN / HYDROCHLOROTHIAZIDE
LORIX;LORATADINE
LYSOPURIC;ALLOPURINOL
PACLITAXEL PHARMACHEMIE 6MG/ML;PACLITAXEL
NEOCLAV 100 MG/12.5 MG/ ML ENFANT;AMOXICILLINE / ACIDE CLAVULANIQUE
AZARGA 10 MG/ML+5 MG/ML;BRINZOLAMIDE / TIMOLOL
OSPEN;PHENOXYMETHYLPENICILLINE
ZYLORIC;ALLOPURINOL
ZYLORIC;ALLOPURINOL
RAMIPRIL/HCTZ GT;RAMIPRIL / HYDROCHLOROTHIAZIDE
FRAXIPARINE;NADROPARINE
KLIOGEST;ESTRADIOL / NORETHISTERONE
VIRAFERONPEG 50  G;INTERFERON ALFA-2B PEGYLE
EFFEXOR;VENLAFAXINE
COZAAR;LOSARTAN
EPREX;EPOETINE ALFA
TRISULFA;SULFAMETHOXAZOLE / TRIMETHOPRIME
GLEMA;GLIMEPIRIDE
IXOR;OMEPRAZOLE
TRIBUTINE 150 MG;TRIMEBUTINE
NIFLURIL;ACIDE NIFLUMIQUE
DIPROSONE;BETAMETHASONE
DIPROSONE;BETAMETHASONE
NEUPOGEN;FILGRASTIM
AKINDEX SIROP ADULTE;DEXTROMETHORPHANE
PARANTAL C 1000;PARACETAMOL / ACIDE ASCORBIQUE (VITAMINE C)
ANCINE PLUS 100MG/25MG;LOSARTAN / HYDROCHLOROTHIAZIDE
FLIXONASE;FLUTICASONE
EQUANIL;MEPROBAMATE
FRAXIPARINE;NADROPARINE
TRITAZIDE 10MG / 25MG;RAMIPRIL / HYDROCHLOROTHIAZIDE
AULCER 20 MG;OMEPRAZOLE
URADOX 2 MG;DOXAZOSINE
ACIDAC;RANITIDINE
METROZAL;METRONIDAZOLE
VIRGAN;GANCICLOVIR
CAPD/DPCA 4;CONCENTRE POUR DIALYSE PERITONEALE
FRAXIPARINE;NADROPARINE
PHARMAETHYL;TETRAFLUOROETHANE
URGOCOR CORICIDE;ACIDE SALICYLIQUE
FRAXIPARINE;NADROPARINE
COQUELUSEDAL PARACETAMOL NOURRISSON;GELSEMIUM / GRINDELIA / PARACETAMOL
INNOHEP 3500 UI ANTI-XA/0,35 ML;TINZAPARINE
CLORACEF;CEFACLOR
NOMYC;FLUCONAZOLE
NOMYC;FLUCONAZOLE
OROTREX;ISOTRETINOINE
URADOX 2 MG;DOXAZOSINE
JAVLOR 25MG/ML;VINFLUNINE
SULFAM;GLICLAZIDE
HOLOXAN;IFOSFAMIDE
BREXIN;PIROXICAM BETA CYCLODEXTRINE
UMATROPE;SOMATROPINE
PHARMAZINE;THIORIDAZINE
NIFLURIL;ACIDE NIFLUMIQUE
NITRODERM TTS 5;TRINITRINE
CICADERMA;SOUCHE HOMEOPATHIQUE
AGIFENE;IBUPROFENE
ORADEXON;DEXAMETHASONE
DOCEWIN 80 MG/2 ML;DOCETAXEL
CRIZEPINE;CARBAMAZEPINE
SEDONASE;STREPTOKINASE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;AMOXICILLINE / ACIDE CLAVULANIQUE
HIBOR 7500 UI ANTI XA;BEMIPARINE
OMIZ 20 MG;OMEPRAZOLE
GENTA;GENTAMICINE
DRILL TOUX S CHE AD.;DEXTROMETHORPHANE
CEFTAJECT I.M 1G/10 ML;CEFTRIAXONE
CEFTAJECT I.M 1G/10 ML;CEFTRIAXONE
DIVARIUS 20 MG;PAROXETINE
DIVARIUS 20 MG;PAROXETINE
TOBRADEX;TOBRAMYCINE / DEXAMETHASONE
FLOXAPEN;FLUCLOXACILLINE
AGLIM 2 MG;GLIMEPIRIDE
KETODERM;KETOCONAZOLE
AXIMYCINE;AMOXICILLINE
COLPOTROPHINE;PROMESTRIENE
BELMAZOL 20MG;OMEPRAZOLE
MIDANIUM;MIDAZOLAM
MIDANIUM;MIDAZOLAM
FOLINATE DE CALCIUM AGUETTANT 100 MG;FOLINATE DE CALCIUM
VASCOR LM;TRIMETAZIDINE
VASCOR LM;TRIMETAZIDINE
COTAREG;VALSARTAN / HYDROCHLOROTHIAZIDE
SINGULAIR;MONTELUKAST
OMEPRAL;OMEPRAZOLE
POLYGYNAX;SULFATE DE NEOMYCINE / SULFATE DE POLYMYXINE B / NYSTATINE
POLYGYNAX;SULFATE DE NEOMYCINE / SULFATE DE POLYMYXINE B / NYSTATINE
MAXIMAG;MAGNESIUM PIDOLATE
XARELTO;RIVAROXABAN
XARELTO;RIVAROXABAN
BEROCCA ZINC;MULTIVITAMINES ET MINERAUX
PREZAR;LOSARTAN
AZOPT;BRINZOLAMIDE
ENDOXAN 1 G;CYCLOPHOSPHAMIDE
SENOPHILE;OXYDE DE ZINC / BENZOATE DE CHOLESTEROL
ARANESP 40  G;DARBEPOETIN ALFA
ARANESP 40  G;DARBEPOETIN ALFA
CIVASTINE;SIMVASTATINE
ERYFLUID;ERYTHROMYCINE
KARDEGIC;ACIDE ACETYLSALICYLIQUE
DILRENE LP;DILTIAZEM
COLCHICINE;COLCHICINE
COLCHICINE;COLCHICINE
DIPREZAR FORT;LOSARTAN / HYDROCHLOROTHIAZIDE
DOGMATIL;SULPIRIDE
DOGMATIL;SULPIRIDE
BIGUAN 850;METFORMINE
ISENTRESS;RALTEGRAVIR
SULFAPRIM;SULFAMETHOXAZOLE / TRIMETHOPRIME
KEFLIN;CEFALOTINE
MUCICLAR ADULTE;CARBOCYSTEINE
LISASPIN;ACIDE ACETYLSALICYLIQUE
DOLIPRANE;PARACETAMOL
CARBOPLATINE AGUETTANT 50 MG;CARBOPLATINE
STREPTOCID;AMOXICILLINE
ALGIPAN BAUME;CAPSICINE / HISTAMINE / MEPHENESINE
NOVOMIX 30 PENFILL;INSULINE HUMAINE
EBETAXEL;PACLITAXEL
CRIZEPINE;CARBAMAZEPINE
AMLOR;AMLODIPINE
EFITAC;RANITIDINE
EFITAC;RANITIDINE
CEPLATIN;CISPLATINE
FASIGYNE;TINIDAZOLE
HERPEVIR;ACICLOVIR
KETODERM;KETOCONAZOLE
MICROZIDE;GLICLAZIDE
AGLIM 4 MG;GLIMEPIRIDE
LEDERTREXATE 50 MG;METHOTREXATE
MIDAZOLAM MYLAN;MIDAZOLAM
SORBALCA;ACIDE ACETYLSALICYLIQUE / CYANOCOBALAMINE
EFDOL CAFEINE;PARACETAMOL / CAFEINE
OEDES;OMEPRAZOLE
PACLITAXEL MYLAN PHARMA 300 MG/50 ML;PACLITAXEL
TETRACYCLINE LAPROPHAN;TETRACYCLINE
INIKAL 5 MG;AMLODIPINE
CYMBALTA;DULOXETINE
CIALIS;TADALAFIL
CIALIS;TADALAFIL
CANAFLUCAN;FLUCONAZOLE
FLUMAX 2000 UI ANTI-XA/0.2ML;ENOXAPARINE
RAZON;PANTOPRAZOLE
OPTICILLINE;AMPICILLINE
PYRALVEX;RHUBARBE EXTRAIT SEC / ACIDE SALICYLIQUE
MEBEVERINE FORTE;MEBEVERINE
TIMABAK;TIMOLOL
GLUCOR;ACARBOSE
TRAMIUM 100 MG;TRAMADOL
DONTOGYL;SPIRAMYCINE / METRONIDAZOLE
MUCILAR ENFANTS ET NOURISSONS;CARBOCYSTEINE
FRAGMIN;DALTEPARINE
NEOMOX;AMOXICILLINE
BICARBONATE EM 39;CONCENTRE POUR HEMODIALYSE
ZYRTEC;CETIRIZINE
ALLERGINE;LORATADINE
SOLUPRED;PREDNISOLONE
CEFTRIAXONE MYLAN;CEFTRIAXONE
CACIT;CALCIUM
RODAL;CEFADROXIL
INSULINE INSULATARD HM PENFILL;INSULINE HUMAINE
PRIMALAN;MEQUITAZINE
PRAVASTATINE GT;PRAVASTATINE
MANNITOL 20% LAPROPHAN;MANNITOL
EULEXINE;FLUTAMIDE
BUPIVACAINE AGUETTANT 5MG/ML;BUPIVACAINE
SPASFON;PHLOROGLUCINOL
SERTRALINE GT 100 MG;SERTRALINE
SERTRALINE GT 100 MG;SERTRALINE
EOSINE PHARMA;EOSINE
SPECTRUM;CIPROFLOXACINE
SPECTRUM;CIPROFLOXACINE
RHUMAGRIP;PARACETAMOL / PSEUDOEPHEDRINE
STAPHYPEN;FLUCLOXACILLINE
ORACEFAL;CEFADROXIL
APIDRA SOLOSTAR;INSULINE HUMAINE
APIDRA SOLOSTAR;INSULINE HUMAINE
MYCODERME 1%;ECONAZOLE
MYDRIATICUM;TROPICAMIDE
MOBIC;MELOXICAM
ALFAMOX;AMOXICILLINE
GENTAMEN 160;GENTAMICINE
RINOCLENIL 50 MCG;BECLOMETASONE
RINOCLENIL 50 MCG;BECLOMETASONE
GLYCEMAT;GLICLAZIDE
BUPIVACAINE MYLAN 20 MG/4 ML;BUPIVACAINE
FRAXIPARINE;NADROPARINE
ASPEGIC;ACIDE ACETYLSALICYLIQUE
ASPEGIC;ACIDE ACETYLSALICYLIQUE
ALFACEFAL 250 MG/5 ML;CEFACLOR
ACIDAC;RANITIDINE
TOTAPEN;AMPICILLINE
BICARBONATE EM 59;CONCENTRE POUR HEMODIALYSE
THEOPHYLLINE BRUNEAU ENFANT;THEOPHYLLINE
IRINOTECAN COOPER;IRINOTECAN
IRINOTECAN COOPER;IRINOTECAN
RIBOMICIN;GENTAMICINE
GLIVEC;IMATINIB
NEO-CODION NOURRISSONS;BENZOATE DE SODIUM / GRINDELIA
OLIPLAT;OXALIPLATINE
CLAMOXYL;AMOXICILLINE
STARMOX;AMOXICILLINE
INSULINE ACTRAPID HM PENFILL;INSULINE HUMAINE
MEZOR 40 MG;ESOMEPRAZOLE
DIGOXINE NATIVELLE;DIGOXINE
ACIDE SLF241;CONCENTRE POUR HEMODIALYSE
COAPROVEL;IRBESARTAN / HYDROCHLOROTHIAZIDE
EXOSEPTOPLIX;CHLORHEXIDINE DIGLUCONATE
FUCIDINE;ACIDE FUSIDIQUE
AMLODIPINE GT;AMLODIPINE
AMLODIPINE GT;AMLODIPINE
VIRAFERON PEG;INTERFERON ALFA-2B PEGYLE
FONGICAN;FLUCONAZOLE
BRONCHOKOD SANS SUCRE;CARBOCYSTEINE
RETIMAX;PENTOXIFYLLINE
MITOXANTRONE EBEWE;MITOXANTRONE
VASTAREL;TRIMETAZIDINE
BUPIVACAINE MYLAN RACHIANESTHESIE 20 MG/4 ML;BUPIVACAINE
MOLGAM 100 MG;ACIDE TIAPROFENIQUE
EFFERALGAN;PARACETAMOL
ALKERAN;MELPHALAN
NO-SPA;DROTAVERINE
NO-SPA;DROTAVERINE
BIOSULIN N;INSULINE HUMAINE
TICLID;TICLOPIDINE
LIFONGID;TERBINAFINE
LIFONGID;TERBINAFINE
SOMATULINE LP 60MG;LANREOTIDE
SOMATULINE LP 60MG;LANREOTIDE
EPREX 10000 UI/ML;EPOETINE ALFA
SEPTIVON;TRICLOCARBAN
STATOR 40 MG;SIMVASTATINE
TENORDATE;NIFEDIPINE / ATENOLOL
INEGY 10MG/10MG;SIMVASTATINE / EZETIMIBE
LOMET;LANSOPRAZOLE
LISASPIN;ACIDE ACETYLSALICYLIQUE
BIODROXIL;CEFADROXIL
BRONCHOFLUIDE SANS SUCRE;CARBOCYSTEINE
XYTENOL;ATENOLOL
ORACEFAL;CEFADROXIL
FACTEUR IX DE COAGULATION HUMAIN-CNTS 50 UI/ML;FACTEUR IX
GRISEO;GRISEOFULVINE
ALFAMOX;AMOXICILLINE
VEPESIDE;ETOPOSIDE
AFINITOR 5 MG;EVEROLIMUS
VOGASET;ONDANSETRON
AGIDERM;ACIDE FUSIDIQUE
KARDEGIC 75MG;ACIDE ACETYLSALICYLIQUE
KARDEGIC 75MG;ACIDE ACETYLSALICYLIQUE
RAMIPRIL WIN;RAMIPRIL
RAMIPRIL WIN;RAMIPRIL
ULTRA-LEVURE;SACCHAROMYCES BOULARDII
PROFLOX;CIPROFLOXACINE
PROFLOX;CIPROFLOXACINE
BETADINE;POLYVIDONE IODEE
MYNAZOL;FLUCONAZOLE
MYNAZOL;FLUCONAZOLE
TECPRIL;RAMIPRIL
CHRONADALATE L.P;NIFEDIPINE
DILATOR ECOSPRAY;SALBUTAMOL
DILATOR ECOSPRAY;SALBUTAMOL
INTETRIX;TILIQUINOL / TILBROQUINOL
COAPROVEL;IRBESARTAN / HYDROCHLOROTHIAZIDE
ACIDE DEXTROSE EM 80 D2;CONCENTRE POUR HEMODIALYSE
ONGECIN;GEMCITABINE
EXELON PATCH 10;RIVASTIGMINE
VIRAFERONPEG 80  G;INTERFERON ALFA-2B PEGYLE
ARIXTRA 2.5 MG/0.5 ML;FONDAPARINUX SODIQUE
OROTREX;ISOTRETINOINE
GRISEOPHARM;GRISEOFULVINE
PROCTOLOG;TRIMEBUTINE / RUSCOGENINE
VELAXOR LP;VENLAFAXINE
ARTHRODONT 1 %;ENOXOLONE
DILATREND;CARVEDILOL
GLUCOR;ACARBOSE
ULTIVA 1 MG;REMIFENTANIL
ULTIVA 1 MG;REMIFENTANIL
PULPERYL;PROCAINE
BIOTIC PLUS;AMOXICILLINE / ACIDE CLAVULANIQUE
BONDRONAT;ACIDE IBANDRONIQUE
AVENOC;SOUCHE HOMEOPATHIQUE
DANTRON;ONDANSETRON
PRILVAS;ENALAPRIL
SYNNAX;LAMOTRIGINE
SYNNAX;LAMOTRIGINE
RETISOL-A;TRETINOINE
AERRANE;ISOFLURANE
AERRANE;ISOFLURANE
OKA-DOCETAXEL;DOCETAXEL
MAXILASE;ALFA-AMYLASE
PROSTIGMINE;NEOSTIGMINE
BIOSULIN 30/70 MIXTE;INSULINE HUMAINE
BACTOX;AMOXICILLINE
STEROGYL GOUTTES;ERGOCALCIFEROL (VITAMINE D2)
OPTICILLINE;AMPICILLINE
MELOXICAM GT;MELOXICAM
MELOXICAM GT;MELOXICAM
MEGASFON;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL
MEGASFON;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL
BEROCCA ZINC;MULTIVITAMINES ET MINERAUX
MYK;SULCONAZOLE
INSULINE INSULATARD HM PENFILL;INSULINE HUMAINE
TAVANIC;LEVOFLOXACINE
PHENOCILLINE;PHENOXYMETHYLPENICILLINE
PNEUMOCCID;AMOXICILLINE
LEVITRA;VARDENAFIL
RISPERDAL ORO 3MG;RISPERIDONE
POLYTAR LIQUIDE;MELANGE DE GOUDRON
CHONDROSULF 400 MG;CHONDROITINE
BEMAG;MAGNESIUM / PYRIDOXINE (VITAMINE B6)
ADRONAT 70 MG;ALENDRONATE
TAXOL;PACLITAXEL
BIOMOX;AMOXICILLINE
STATOR 40 MG;SIMVASTATINE
ACIDE ALENDRONIQUE GT;ALENDRONATE
PROGRAF;TACROLIMUS
PROGRAF;TACROLIMUS
TELEBRIX 30 MEGLUMINE;IOXITALAMATE DE MEGLUMINE
DICLO PHARMA 5;DICLOFENAC
TOTIFEN;KETOTIFENE
MOLGAM 200 MG;ACIDE TIAPROFENIQUE
NAUSELIUM 10 MG;DOMPERIDONE
UMAX 400  G LP;TAMSULOSINE
LANTUS;INSULINE HUMAINE
TIMOPTOL;TIMOLOL
BRONCHOFLUIDE;CARBOCYSTEINE
AMAREL;GLIMEPIRIDE
AMAREL;GLIMEPIRIDE
ALTEC;RAMIPRIL
HEXABRIX;IOXAGLATE DE SODIUM ET DE MEGLUMINE
ZITHROMAX;AZITHROMYCINE
FONGICAN 50 MG;FLUCONAZOLE
DAILY G ;LEVONORGESTREL / ETHINYLESTRADIOL
ZYRDOL-GYN;METRONIDAZOLE
BULMOL;SALBUTAMOL
GLUCOPHAGE 850;METFORMINE
IMUSPORIN;CICLOSPORINE
ATROPINE PROMOPHARM 1 MG;ATROPINE
FLUOCARIL BF 250;MONOFLUOROPHOSPHATE DE SODIUM
TRIAXON;CEFTRIAXONE
ROFERON-A;INTERFERON ALFA-2A
TRIMOX;SULFAMETHOXAZOLE / TRIMETHOPRIME
CLADIA;CLARITHROMYCINE
DURESAN;FUROSEMIDE
LAMICTAL;LAMOTRIGINE
DIFLUCAN;FLUCONAZOLE
NEOMOX;AMOXICILLINE
ALGANTIL;IBUPROFENE
RINGER LACTATE SOTHEMA;CHLORURE DE SODIUM / CHLORURE DE POTASSIUM
HAEMACCEL;GELATINE FLUIDE MODIFIEE
NOVOFEM;ESTRADIOL / NORETHISTERONE
DIALENS;DEXTRAN / CHLORHEXIDINE
GLUCOSE 5% SOTHEMA;GLUCOSE
OEDES 20 MG;OMEPRAZOLE
CARDIJECT;DOBUTAMINE
ERYTHROCINE;ERYTHROMYCINE
CALCINIB;AMLODIPINE
LUDIOMIL;MAPROTILINE
TRIMOX FORT;SULFAMETHOXAZOLE / TRIMETHOPRIME
ALZOLE 20 MG;OMEPRAZOLE
ALZOLE 20 MG;OMEPRAZOLE
BUSCOPAN;N-BUTYL HYOSCINE
AMOVAS;AMLODIPINE
FLUSTAPH;FLUCLOXACILLINE
TROPHIRES ADULTES;HUILE ESSENTIELLE DEUCALYPTUS / TENOATE DE SODIUM
HIPOTENSIL;CAPTOPRIL
VIRLIX;CETIRIZINE
PNEUMOCCID;AMOXICILLINE
MYCOFLU 150 MG;FLUCONAZOLE
SPASFON 40 MG;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL
SPASFON 40 MG;PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL
MIGRALGINE;PARACETAMOL / CAFEINE
XERIUM 20 MG;PAROXETINE
SYMBICORT TURBUHALER;BUDESONIDE / FORMOTEROL
DOLIPRANE;PARACETAMOL
TEMODAL;TEMOZOLOMIDE
TEMODAL;TEMOZOLOMIDE
LINCOCINE;LINCOMYCINE
RECORMON;EPOETINE BETA
FRAXIPARINE;NADROPARINE
PHARMAFLAM RETARD;DICLOFENAC
CORRECTOL;INOSINE MONOPHOSPHATE
VELAXOR LP;VENLAFAXINE
NORMET;ATENOLOL
VERASKIN;ALOE VERA
ASTAPH;FLUCLOXACILLINE
GENTAMICINE LLORENTE;GENTAMICINE
INSPRA 50 MG;EPLERENONE
BRONCHOFLUIDE;CARBOCYSTEINE
MINIDIAB;GLIPIZIDE
EZETROL;EZETIMIBE
NOVOCLIN;AMOXICILLINE / ACIDE CLAVULANIQUE
C-BAC 500 MG;CLARITHROMYCINE
TERFINE 250 MG PROMOPHARM;TERBINAFINE
TRITAZIDE 10MG / 25MG;RAMIPRIL / HYDROCHLOROTHIAZIDE
INDOLAN;INDOMETACINE
PRIMALAN;MEQUITAZINE
NEOCLAV 100MG/12.5MG/ML NOURRISSON;AMOXICILLINE / ACIDE CLAVULANIQUE
SUPANGINE;CHLORAMPHENICOL / BISMUTH SUCCINATE
DOXYMYCINE;DOXYCYCLINE
PRISDAL;RISPERIDONE
BIOTIC PLUS;AMOXICILLINE / ACIDE CLAVULANIQUE
OMEGEN;OMEPRAZOLE
ALFAMOX;AMOXICILLINE
ALFAMOX;AMOXICILLINE
FLAGYL;METRONIDAZOLE
EUSAPRIM FORT;SULFAMETHOXAZOLE / TRIMETHOPRIME
ZOPIDOX;ZOLPIDEM
CHLORTETRACYCLINE LAPROPHAN;CHLORTETRACYCLINE
TECPRIL;RAMIPRIL
ALODONT;CETYLLPYRIDINIUM / CHLOROBUTANOL HEMYDRATE
VISUDYNE;VERTEPORFINE
UMILINE NPH PEN;INSULINE HUMAINE
GRISEOPHARM;GRISEOFULVINE
ZOCOR;SIMVASTATINE
PROFLOX;CIPROFLOXACINE
LASILIX SPECIAL;FUROSEMIDE
CELLCEPT;MYCOPHENOLATE MOFETIL
VIBRAMYCINE;DOXYCYCLINE
MODITEN;FLUPHENAZINE
SUPPOSEDAL ADULTE;NIAOULI / GRINDELIA / GELSEMIUM
CHLORURE DE SODIUM LAPROPHAN;CHLORURE DE SODIUM
HIBOR 2500 UI ANTI XA;BEMIPARINE
AERIUS;DESLORATADINE
INNOHEP 18 000 UI ANTI-XA/0,9 ML;TINZAPARINE
CIBACALCINE;CALCITONINE HUMAINE
CHLORTETRACYCLINE LAPROPHAN;CHLORTETRACYCLINE
AVONEX 30 G/0.5ML;INTERFERON BETA-1A
SULPIDAL;SULPIRIDE
OXAPLATINE MYLAN 5 MG/ML;OXALIPLATINE
DUOTRAV;TRAVOPROST / TIMOLOL
DUOTRAV;TRAVOPROST / TIMOLOL
TOPICORTE 0,25%;DESOXIMETASONE
PRISDAL;RISPERIDONE
OXIDEN;PIROXICAM
PACLITAXEL PHARMACHEMIE 6MG/ML;PACLITAXEL
HEXABRIX;IOXAGLATE DE SODIUM ET DE MEGLUMINE
GAVISCON;ALGINATE DE SODIUM / BICARBONATE DE SODIUM ADULTE
PAROXETINE WIN;PAROXETINE
LIBRAX;CLIDINIUM / CHLORDIAZEPOXIDE
DONZEP 10 MG;DONEPEZIL
TILCOTIL;TENOXICAM
TEMGESIC;BUPRENORPHINE
LOSARTAN GT;LOSARTAN
POLYTAR AF;GOUDRON / ZINC PYRITHIONE
VIRECTIL 100 MG;SILDENAFIL
PROCTO GLYVENOL;TRIBENOSIDE / LIDOCAINE
HUMEX COLLUTOIRE;CHLORHYDRATE DE LIDOCAINE / CHLORURE DE BENZALKONIUM
DESOMEDINE;HEXAMIDINE
PARAGRIPPE;SOUCHE HOMEOPATHIQUE
WELLBUTRIN XR 150 MG;BUPROPION
TAMOXIFENE MYLAN;TAMOXIFENE
MARCAINE RACHIANESTHESIE;BUPIVACAINE
ALTEC;RAMIPRIL
SEDATIF PC;SOUCHE HOMEOPATHIQUE
ZOLOFT;SERTRALINE
ALDACTONE;SPIRONOLACTONE
BRONCOLIBER ADULTE;AMBROXOL
FLAGENTYL;SECNIDAZOLE
FLAGENTYL;SECNIDAZOLE
PRESTOLE;TRIAMTERENE / HYDROCHLOROTHIAZIDE
FLUIBRON;AMBROXOL
HUMEX RHUME;PARACETAMOL / PSEUDOEPHEDRINE
POSTE PENGHA;IODOFORME
VOLTARENE EMULGEL;DICLOFENAC
ALMIDE;LODOXAMIDE
EXACYL;ACIDE TRANEXAMIQUE
PAXELADINE;OXELADINE
TEGUMA;TERBINAFINE
TEGUMA;TERBINAFINE
MAGISTRAL;SALBUTAMOL
MAGISTRAL;SALBUTAMOL
CETIRAL;CETIRIZINE
MAXIDROL;DEXAMETHASONE / NEOMYCINE
TONICALCIUM ENFANTS;ASCORBATE DE CALCIUM / ASCORBATE DE LYSINE
ISKEDYL;DIHYDROERGOTAMINE / RAUBASINE
OVESTIN;ESTRIOL
DOMPELIUM 1 MG / ML;DOMPERIDONE
DUROGESIC;FENTANYL
CAPEN;CAPTOPRIL
CINABAC;CIPROFLOXACINE
LIVIAL;TIBOLONE
VIAGRA;SILDENAFIL
PRILVAS;ENALAPRIL
EPOTIN;ERYTHROPOIETINE HUMAINE
CISPLATINE COOPER;CISPLATINE
CYMBALTA;DULOXETINE
COAPROVEL;IRBESARTAN / HYDROCHLOROTHIAZIDE
UROCTAL;NORFLOXACINE
ESTRAPATCH 60  G/24 HEURES;ESTRADIOL
HEXABRIX;IOXAGLATE DE SODIUM ET DE MEGLUMINE
NEOMOX;AMOXICILLINE
ASKARDIL 160MG;ACIDE ACETYLSALICYLIQUE
ULCESTOP;CIMETIDINE
LORCARD;AMLODIPINE
ADALATE RETARD;NIFEDIPINE
XEDILOL;CARVEDILOL
FLAGENTYL;SECNIDAZOLE
FLAGYL;METRONIDAZOLE
GENTAMICINE LLORENTE;GENTAMICINE
MYCOSPOR ONYCHOSET;BIFONAZOLE / UREE
NUPENTIN;GABAPENTINE
