NOM;DCI1
SANDOSTATINE *;OCTREOTIDE
BIAFINE;TROLAMINE
SUPRIMASE;FLUCONAZOLE
UNASYN;SULTAMICILLINE
FOLINATE DE CALCIUM AGUETTANT 50 MG;FOLINATE DE CALCIUM
SINGULAIR;MONTELUKAST
ELOXATINE 5 MG/ML;OXALIPLATINE
SANDOCAL;CALCIUM
TOPAAL;ACIDE ALGINIQUE / ALUMINIUM HYDROXYDE
STIMOL;CITRULINE MALEATE
OSSOPAN;COMPLEXE OSSEINE HYDROXYAPATITE
INALAP 5 MG;ENALAPRIL
VACCIN ATNTIDIPHTERIQUE ANTITETANIQUE;ANATOXINE TETANIQUE / ANATOXINE DIPHTERIQUE
NOMYC;FLUCONAZOLE
NOMYC;FLUCONAZOLE
CORTIVENT;BECLOMETASONE
CORTIVENT;BECLOMETASONE
CATAFLAM;DICLOFENAC
OXONE 1G/5 ML IM;CEFTRIAXONE
SULFOBACTIN;THIAMPHENICOL
TRIATEC;RAMIPRIL
CANDICID;FLUCONAZOLE
TRINOMYC;FLUCONAZOLE
SPASMAG;MAGNESIUM SULFATE / LEVURE CEREVISIAE
DOXINE;DOXYCYCLINE
GONAL-F 150 UI;FOLLITROPINE ALFA
DOPAMINE AGUETTANT 40MG/ML;DOPAMINE
AVIRANZ;EFAVIRENZ
CISPLATINE EBEWE;CISPLATINE
ALGANTIL;IBUPROFENE
GASTROGRAFINE;AMIDOTRIZOATE DE MEGLUMINE ET DE SODIUM
TILCOTIL;TENOXICAM
PREMOCEFAL;CEFADROXIL
MIBRAL;AMLODIPINE
SOLIAN 100 MG;AMISULPRIDE
SOLIAN 100 MG;AMISULPRIDE
COLPOTROPHINE;PROMESTRIENE
CARTEOL LP;CARTEOLOL
BREXIN;PIROXICAM BETA CYCLODEXTRINE
SALBUMOL;SALBUTAMOL
MEZOR 20 MG;ESOMEPRAZOLE
BEROCCA;MULTIVITAMINES ET MINERAUX
ROXAM;PIROXICAM
DECAPEPTYL LP;TRIPTORELINE
GRISEO SALICYLEE;GRISEOFULVINE / ACIDE SALICYLIQUE
DECAPEPTYL LP;TRIPTORELINE
NOCOL;SIMVASTATINE
IBUPHIL;IBUPROFENE
CEPHYL;MULTIPLE
RISPERDAL;RISPERIDONE
RISPERDAL;RISPERIDONE
TOPSYNE APG;FLUOCINONIDE
LAMISIL;TERBINAFINE
LANTUS;INSULINE HUMAINE
DIPROSALIC;BETAMETHASONE / ACIDE SALICYLIQUE
CIPROXINE;CIPROFLOXACINE
MODURETIC;AMILORIDE / HYDROCHLOROTHIAZIDE
SYSTRAL;CHLORPHENOXAMINE
SYSTRAL C;CHLORPHENOXAMINE / CAFEINE
ACLASTA 5MG/100ML;ACIDE ZOLEDRONIQUE
ACLASTA 5MG/100ML;ACIDE ZOLEDRONIQUE
PUREGON;FOLLITROPINE BETA
BACTOX;AMOXICILLINE
AVOCOMB;LAMIVUDINE / ZIDOVUDINE
AVOCOMB;LAMIVUDINE / ZIDOVUDINE
ISOLONE;PREDNISOLONE
STRATTERA 40 MG;ATOMOXETINE
INSULINE MIXTARD 30 HM PENFILL;INSULINE HUMAINE
GONAL-F 1050 UI;FOLLITROPINE ALFA
GONAL-F 1050 UI;FOLLITROPINE ALFA
OXIFLOR;OFLOXACINE
INNOHEP 10 000 UI ANTI-XA/0,5 ML;TINZAPARINE
OXALIPLATINE WIN 5 MG/ML;OXALIPLATINE
PECTRYL;BROMHEXINE / SULFOGAICOLE
GENTAMICINE LLORENTE;GENTAMICINE
THIOPENTAL BIOCHEMIE;THIOPENTAL
ANTINOREX;CYPROHEPTADINE
ELUDRIL;CHLORHEXIDINE / TETRACAINE
STOCRIN;EFAVIRENZ
MOBIC;MELOXICAM
ABBOTICINE;ERYTHROMYCINE
STARMOX;AMOXICILLINE
ORACILLINE;PHENOXYMETHYLPENICILLINE
TROXINE;ROXITHROMYCINE
AVANDAMET;ROSIGLITAZONE / METFORMINE
AVANDAMET;ROSIGLITAZONE / METFORMINE
ALVITYL;VITAMINES
MUCOSTEINE;CARBOCYSTEINE
OTRIVINE;XYLOMETAZOLINE
REVOLADE 50MG;ELTROMBOPAG
BACTRIM;SULFAMETHOXAZOLE / TRIMETHOPRIME
TRIGYNON;LEVONORGESTREL / ETHINYLESTRADIOL
MENCEVAX AC;VACCIN ANTIMENINGOCOCCIQUE A ET C
TENOCAN;ATENOLOL
THEOSTAT LP;THEOPHYLLINE
DICLOMAX;DICLOFENAC
DIPICOR;AMLODIPINE
HYZAAR;LOSARTAN / HYDROCHLOROTHIAZIDE
ALFAPROXINE;CIPROFLOXACINE
ALFAPROXINE;CIPROFLOXACINE
CLARINASE REBETABS;LORATADINE / PSEUDOEPHEDRINE
MIVACRON;MIVACURIUM
URBANYL;CLOBAZAM
NEOCLAV 100MG/12.5MG/ML ENFANT;AMOXICILLINE / ACIDE CLAVULANIQUE
NAVELBINE;VINORELBINE
SAVARINE;PROGUANIL / CHLOROQUINE
TETRALYSAL;LYMECYCLINE
AMOXIL;AMOXICILLINE
LEVITRA;VARDENAFIL
BUSCOPAN;N-BUTYL HYOSCINE
BUSCOPAN;N-BUTYL HYOSCINE
CLAMOXYL;AMOXICILLINE
CALCIUM ALKO;CALCIUM
AZ;AZITHROMYCINE
BACTROBAN;MUPIROCINE
SPIBAC 3 MUI;SPIRAMYCINE
ROVAMYCINE;SPIRAMYCINE
RANIMAT;RANITIDINE
ANALGYL;IBUPROFENE
HYPRIL;ENALAPRIL / HYDROCHLOROTHIAZIDE
NEOCLAV;AMOXICILLINE / ACIDE CLAVULANIQUE
AMUCHIN 10;CHLOROXYDANT / ELECTROLYTIQUE
ERBITUX 5 MG/ML;CETUXIMAB
ERBITUX 5 MG/ML;CETUXIMAB
VERASKIN;ALOE VERA
ZOVAS;SIMVASTATINE
XYLONOR SPRAY;LIDOCAINE / CETRIMIDE
XYLONOR SPRAY;LIDOCAINE / CETRIMIDE
SURGAM;ACIDE TIAPROFENIQUE
ASTAPH;FLUCLOXACILLINE
TASIGNA 200MG;NILOTINIB
TASIGNA 200MG;NILOTINIB
AMOXIL;AMOXICILLINE
GLYCEMAT;GLICLAZIDE
FLAGYL;METRONIDAZOLE
DAONIL;GLIBENCLAMIDE
PEVARYL;ECONAZOLE
ALER Z;CETIRIZINE
ARTOTEC;DICLOFENAC / MISOPROSTOL
ASEPSIL 10;AMPHOLYTE G
CURAM 1G/125MG;AMOXICILLINE / ACIDE CLAVULANIQUE
VITAMINE C;ACIDE ASCORBIQUE (VITAMINE C)
AMPICILLINE LLORENTE;AMPICILLINE
ICANAL RETARD;NICARDIPINE
ICANAL RETARD;NICARDIPINE
NOVEX;ENOXAPARINE
CORDARONE;AMIODARONE
DESTEC 0.5 MG/ML;DESLORATADINE
SEVREDOL;MORPHINE
IOPIDINE;APRACLONIDINE
IOPIDINE;APRACLONIDINE
NOCAND 200 MG;FLUCONAZOLE
MYCOSTER;CICLOPIROXOLAMINE
LEVEMIR PENF;INSULINE DETEMIR
LEVEMIR PENF;INSULINE DETEMIR
SYNNAX;LAMOTRIGINE
SYNNAX;LAMOTRIGINE
DUPLAMOX SANS SUCRE;AMOXICILLINE / BROMHEXINE
DUPLAMOX SANS SUCRE;AMOXICILLINE / BROMHEXINE
MAGNEVIST;GADOPENTETATE DE DIMEGLUMINE / GADOPENTETATE DE MEGLUMINE
CARDINOR;CARVEDILOL
CARDINOR;CARVEDILOL
GENTAMEN 10;GENTAMICINE
MIRCERA 200  G/0.3 ML;EPOETINE BETA
OMEGEN;OMEPRAZOLE
PRIMALAN;MEQUITAZINE
CLARTEC;LORATADINE
CLARTEC;LORATADINE
SANDIMMUN;CICLOSPORINE
ULCESTOP;CIMETIDINE
CILOXAN;CIPROFLOXACINE
KETUM 2.5 %;KETOPROFENE
ZERIT;STAVUDINE
CANDICID;FLUCONAZOLE
UNIZITRO;AZITHROMYCINE
UNIZITRO;AZITHROMYCINE
AURICULARUM;OXYTETRACYCLINE / POLYMYXINE B / NYSTATINE / DEXAMETHASONE
STODAL;SOUCHE HOMEOPATHIQUE
AZOLE;ALBENDAZOLE
SEPTANEST ADRENALINEE;ARTICAINE
RINGER LACTATE LAPROPHAN;CHLORURE DE SODIUM / CHLORURE DE POTASSIUM
CARBOSYLANE;CHARBON ACTIVE / DIMETICONE
CEFAPEROS;CEFATRIZINE
PANALGIC;PARACETAMOL / CAFEINE
MYTELASE;AMBENONIUM
MIBRAL;AMLODIPINE
TRASYLOL;APROTININE
DYNASTAT;PARECOXIB
ORADEXON ELIXIR;DEXAMETHASONE
NIFROZID;NIFUROXAZIDE
SKINOSALIC;BETAMETHASONE / ACIDE SALICYLIQUE
DALIBOUR;SULFATE DE CUIVRE / SULFATE DE ZINC
SOMATOSTATINE;SOMATOSTATINE
SOMATOSTATINE;SOMATOSTATINE
ARANESP 20  G;DARBEPOETIN ALFA
ARANESP 20  G;DARBEPOETIN ALFA
SEPCEN 250 MG;CIPROFLOXACINE
NOVEX;ENOXAPARINE
TOBREX;TOBRAMYCINE
ZOLADEX 3.6 MG;GOSERELINE
ASKARDIL 75MG;ACIDE ACETYLSALICYLIQUE
ORELOX;CEFPODOXIME
RIABAL ENF;PRIFINIUM
ASPEGIC ENF;ACIDE ACETYLSALICYLIQUE
NEUROCYNESINE;SOUCHE HOMEOPATHIQUE
LIPANTHYL;FENOFIBRATE
MORPHINE MERAM 1%;MORPHINE
ACLAV;AMOXICILLINE / ACIDE CLAVULANIQUE
COVERAM 10MG/5MG;PERINDOPRIL / AMLODIPINE
ALFATIL;CEFACLOR
GENTAMEN 80;GENTAMICINE
PRAMIDOL;METOCLOPRAMIDE
AVAMYS 27.5  G/PULVERISATION;FUROATE DE FLUTICASONE
AVAMYS 27.5  G/PULVERISATION;FUROATE DE FLUTICASONE
HEXAPNEUMINE ENF;BICLOTYMOL
PIROXAM;PIROXICAM
FLOXAM;FLUCLOXACILLINE
XELODA;CAPECITABINE
MIBRAL;AMLODIPINE
TEMODAL;TEMOZOLOMIDE
AMOXIL;AMOXICILLINE
EPREX 2000 UI/ML;EPOETINE ALFA
PIPORTIL;PIPOTIAZINE
PIPORTIL;PIPOTIAZINE
ORADEXON ELIXIR;DEXAMETHASONE
TREMADOL;TRAMADOL
CURACNE;ISOTRETINOINE
DOLIPRANE VITAMINE C;PARACETAMOL / ACIDE ASCORBIQUE (VITAMINE C)
ZILDAM;PIROXICAM
PIPERACILLINE MYLAN;PIPERACILLINE
SYNNAX;LAMOTRIGINE
SYNNAX;LAMOTRIGINE
ODIA;GLIMEPIRIDE
ACEPRIL;PERINDOPRIL
ACEPRIL;PERINDOPRIL
RECORMON;EPOETINE BETA
REVATIO 20 MG;SILDENAFIL
REVATIO 20 MG;SILDENAFIL
SPECTRUM;CIPROFLOXACINE
SPECTRUM;CIPROFLOXACINE
BARACLUDE;ENTECAVIR
BARACLUDE;ENTECAVIR
HYTACAND;CANDESARTAN / HYDROCHLOROTHIAZIDE
CEFTRIAXONE MYLAN;CEFTRIAXONE
INDOCOLLYRE;INDOMETACINE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;AMOXICILLINE / ACIDE CLAVULANIQUE
UVIMAG B6;MAGNESIUM / PYRIDOXINE (VITAMINE B6)
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;AMOXICILLINE / ACIDE CLAVULANIQUE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;AMOXICILLINE / ACIDE CLAVULANIQUE
DIURIMAT 1.5 MG LP;INDAPAMIDE
DIURIMAT 1.5 MG LP;INDAPAMIDE
ADRENALINE 1 MG;EPINEPHRINE
LANPROL;LANSOPRAZOLE
FRAXIPARINE;NADROPARINE
COMBANTRIN;PYRANTEL
ANTINOREX;CYPROHEPTADINE
EFFIPRED;PREDNISOLONE
FLUOROURACIL EBEWE;FLUOROURACIL
CIPROXINE;CIPROFLOXACINE
PERNABOL;CYPROHEPTADINE
AVT;ACIDE ACETYLSALICYLIQUE / ACIDE ASCORBIQUE (VITAMINE C)
CACIT;CALCIUM
STREPTOCID;AMOXICILLINE
GEMCITABINE HOSPIRA 2 G;GEMCITABINE
TAXOTERE 20 MG/0.5 ML;DOCETAXEL
APETINE;CYPROHEPTADINE
ASPEGIC AD;ACIDE ACETYLSALICYLIQUE
ACUPAXIL-30;PACLITAXEL
ACUPAXIL-30;PACLITAXEL
OMACOR;ESTERS ETHYLIQUES D'ACIDES OMEGA-3 / ALPHA TOCOPHEROL
XYZALL;LEVOCETIRIZINE
LEDERTREXATE;METHOTREXATE
MINIDIAB;GLIPIZIDE
STRATTERA 18 MG;ATOMOXETINE
CICLOVIRAL;ACICLOVIR
ALDOMET;METHYLDOPA
MYCOSPOR;BIFONAZOLE
SOMATULINE LP 30 MG;LANREOTIDE
SOMATULINE LP 30 MG;LANREOTIDE
FLUDEX LP;INDAPAMIDE
CRIXIVAN;INDINAVIR
ALVITYL;VITAMINES
GONAL-F450;FOLLITROPINE ALFA
GONAL-F450;FOLLITROPINE ALFA
PROFENID I.M;KETOPROFENE
ANAFRANIL;CLOMIPRAMINE
PHARMAURACIL;FLUOROURACIL
INNOHEP 14 000 UI ANTI-XA/0,7 ML;TINZAPARINE
FLUOROURACILE MYLAN;FLUOROURACIL
STRATTERA 25 MG;ATOMOXETINE
NOVONORM;REPAGLINIDE
AMODEX;AMOXICILLINE
BAUME SLOAN;CAMPHRE OFFICINAL
BAUME SLOAN;CAMPHRE OFFICINAL
PACLITAXEL COOPER;PACLITAXEL
ORGALUTRAN;GANIRELIX
EPREX;EPOETINE ALFA
PENAMOX;AMOXICILLINE
COQUELUSEDAL ENFANTS;NIAOULI / GRINDELIA / GELSEMIUM
RODAL;CEFADROXIL
RODAL;CEFADROXIL
SAGADREPS 20 MG AR ME MENTHE;BICLOTYMOL
ISONE;PREDNISONE
EOSINE PHARMA;EOSINE
HERPEVIR 5%;ACICLOVIR
HERPEVIR 5%;ACICLOVIR
VALSARTAN WIN 160 MG;VALSARTAN
A-GRAM;AMOXICILLINE
PZA;PYRAZINAMIDE
COMBIVIR;LAMIVUDINE / ZIDOVUDINE
PIPERACILLINE MYLAN;PIPERACILLINE
URISPAS;FLAVOXATE
STAPHYMYCINE;OXACILLINE
TRIACEPHINE PHARMA5;CEFTRIAXONE
TRIACEPHINE PHARMA5;CEFTRIAXONE
MACROMAX;AZITHROMYCINE
MACROMAX;AZITHROMYCINE
CROMABAK;CROMOGLYCATE DE SODIUM
ELVORINE;FOLINATE DE CALCIUM
METHYLPREDNISOLONE MYLAN;METHYLPREDNISOLONE
KETUM 2.5 %;KETOPROFENE
FELDENE;PIROXICAM
SOLU MEDROL;METHYLPREDNISOLONE
OMIZ 20 MG;OMEPRAZOLE
GENTAMICINE LLORENTE;GENTAMICINE
ADALATE;NIFEDIPINE
PENITARD;BENZATHINE BENZYLPENICILLINE
ATROPINE PROMOPHARM 0,25 MG;ATROPINE
SIPROZONE;PREDNISOLONE
DEFLAZACORTE GT 6 MG;DEFLAZACORT
INNOHEP 4500 UI ANTI-XA/0,45 ML;TINZAPARINE
PANADOL;PARACETAMOL
ZAMOX;AMOXICILLINE / ACIDE CLAVULANIQUE
ZAMOX;AMOXICILLINE / ACIDE CLAVULANIQUE
IKARAN;DIHYDROERGOTAMINE
CIVASTINE;SIMVASTATINE
FRAXODI;NADROPARINE
LINCOCINE;LINCOMYCINE
CARVEDILOL GT;CARVEDILOL
XOLAMOL;DORZOLAMIDE / TIMOLOL
GENTAMICINE CHAUVIN COLLYRE;GENTAMICINE
PENAMOX;AMOXICILLINE
SOMATOSTATINE;SOMATOSTATINE
SOMATOSTATINE;SOMATOSTATINE
HOSTACORTIN H;PREDNISOLONE
NOVONORM;REPAGLINIDE
NOROXINE;NORFLOXACINE
MYCOFLU;FLUCONAZOLE
PAXIL CR 12.5 MG;PAROXETINE
PAXIL CR 12.5 MG;PAROXETINE
BULMOL;SALBUTAMOL
SEBIPROX;CICLOPIROXOLAMINE
FONGAMIL;OMOCONAZOLE
FOSAVANCE;ALENDRONATE / COLECALCIFEROL (VITAMINE D3)
PREMOCEFAL;CEFADROXIL
DILATOR;SALBUTAMOL
DILATOR;SALBUTAMOL
RELPAX;ELETRIPTAN
DOXYMYCINE;DOXYCYCLINE
GEOMYCINE;OXYTETRACYCLINE
BC-F 8,4%;CONCENTRE POUR HEMODIALYSE
COVERSYL;PERINDOPRIL
ANTAGON H2;CIMETIDINE
AMOXIL;AMOXICILLINE
DIFAL 1 %;DICLOFENAC
HYDROCORTISONE ROUSSEL;HYDROCORTISONE
FLEXEN;KETOPROFENE
FLEXEN;KETOPROFENE
CLAVULIN;AMOXICILLINE / ACIDE CLAVULANIQUE
DIPROSONE;BETAMETHASONE
CLAFORAN;CEFOTAXIME
FLONOX;CIPROFLOXACINE
ABILIFY 15 MG;ARIPIPRAZOLE
ALGOTROPYL 200;PARACETAMOL / PROMETHAZINE
ISKEDYL FORT;DIHYDROERGOTAMINE / RAUBASINE
VITANEVRIL;BENPHOTHIAMINE
CAPEN;CAPTOPRIL
INEXIUM;ESOMEPRAZOLE
DIFENAC;DICLOFENAC
TRIFAX;CEFTRIAXONE
CATEX;CIPROFLOXACINE
CLOPRAME;METOCLOPRAMIDE
METHYLPREDNISOLONE MYLAN;METHYLPREDNISOLONE
TONICALCIUM ADULTES;ASCORBATE DE CALCIUM / ASCORBATE DE LYSINE
ODRIK;TRANDOLAPRIL
FLUCONAZOLE GT 200 MG;FLUCONAZOLE
RODAL;CEFADROXIL
CETAMYL;PARACETAMOL
